instance_id,project,target_stable_branch,change_id,master_patch_url,stable_backport_url,same_files_modified,file_overlap_ratio,files_only_in_master,files_only_in_stable,master_lines_added,master_lines_removed,stable_lines_added,stable_lines_removed,diff_size_ratio,days_to_backport,only_iac,has_explicit_tests,master_patchsets,master_human_messages,master_human_reviewers,master_review_duration_days,master_review_hours,master_ci_failures,master_human_negative_votes,master_api_status,bp_patchsets,bp_human_messages,bp_human_reviewers,bp_review_duration_days,bp_review_hours,bp_ci_failures,bp_human_negative_votes,bp_api_status,backport_type
openstack-kolla-ansible-stable-yoga-Ia025283,openstack/kolla-ansible,stable/yoga,Ia025283e38ea7c3bd37c7a70d03f6b46c68f4456,https://review.opendev.org/c/openstack/kolla-ansible/+/868929,https://review.opendev.org/c/openstack/kolla-ansible/+/893772,True,1.0,,,343,2,343,2,1.0,0,False,False,46,56,6,249.78,5994.8,48,4,ok,1,3,3,0.81,19.36,2,0,ok,Clean
openstack-kolla-ansible-stable-2023.1-Ia025283,openstack/kolla-ansible,stable/2023.1,Ia025283e38ea7c3bd37c7a70d03f6b46c68f4456,https://review.opendev.org/c/openstack/kolla-ansible/+/868929,https://review.opendev.org/c/openstack/kolla-ansible/+/893770,True,1.0,,,343,2,343,2,1.0,0,False,False,46,56,6,249.78,5994.8,48,4,ok,1,3,3,0.8,19.22,1,0,ok,Clean
openstack-kolla-ansible-stable-zed-Ice13759,openstack/kolla-ansible,stable/zed,Ice13759c406ff7cec91c9d740b0e0c43eda99510,https://review.opendev.org/c/openstack/kolla-ansible/+/876991,https://review.opendev.org/c/openstack/kolla-ansible/+/893764,True,1.0,,,2,0,2,0,1.0,14,True,False,2,6,6,180.09,4322.15,1,0,ok,2,6,7,14.44,346.51,2,1,ok,Clean
openstack-kolla-ansible-stable-yoga-Ice13759,openstack/kolla-ansible,stable/yoga,Ice13759c406ff7cec91c9d740b0e0c43eda99510,https://review.opendev.org/c/openstack/kolla-ansible/+/876991,https://review.opendev.org/c/openstack/kolla-ansible/+/893765,True,1.0,,,2,0,2,0,1.0,14,True,False,2,6,6,180.09,4322.15,1,0,ok,2,7,6,14.44,346.51,3,0,ok,Clean
openstack-kolla-ansible-stable-2023.1-Ice13759,openstack/kolla-ansible,stable/2023.1,Ice13759c406ff7cec91c9d740b0e0c43eda99510,https://review.opendev.org/c/openstack/kolla-ansible/+/876991,https://review.opendev.org/c/openstack/kolla-ansible/+/893763,True,1.0,,,2,0,2,0,1.0,14,True,False,2,6,6,180.09,4322.15,1,0,ok,2,5,6,14.42,346.15,2,1,ok,Clean
openstack-puppet-ceilometer-stable-wallaby-Ib5c273d,openstack/puppet-ceilometer,stable/wallaby,Ib5c273df325f5ed0dccf7f45a9c7a91aba9568c3,https://review.opendev.org/c/openstack/puppet-ceilometer/+/892736,https://review.opendev.org/c/openstack/puppet-ceilometer/+/896109,True,1.0,,,8,3,8,3,1.0,22,False,False,3,7,3,9.95,238.86,3,0,ok,2,3,2,4.92,118.2,2,1,ok,Clean
openstack-puppet-ceilometer-stable-xena-Ib5c273d,openstack/puppet-ceilometer,stable/xena,Ib5c273df325f5ed0dccf7f45a9c7a91aba9568c3,https://review.opendev.org/c/openstack/puppet-ceilometer/+/892736,https://review.opendev.org/c/openstack/puppet-ceilometer/+/896108,True,1.0,,,8,3,8,3,1.0,21,False,False,3,7,3,9.95,238.86,3,0,ok,2,3,2,4.26,102.23,3,1,ok,Clean
openstack-puppet-ceilometer-stable-yoga-Ib5c273d,openstack/puppet-ceilometer,stable/yoga,Ib5c273df325f5ed0dccf7f45a9c7a91aba9568c3,https://review.opendev.org/c/openstack/puppet-ceilometer/+/892736,https://review.opendev.org/c/openstack/puppet-ceilometer/+/894424,True,1.0,,,8,3,8,3,1.0,17,False,False,3,7,3,9.95,238.86,3,0,ok,1,5,4,10.53,252.62,3,0,ok,Clean
openstack-puppet-ceilometer-stable-zed-Ib5c273d,openstack/puppet-ceilometer,stable/zed,Ib5c273df325f5ed0dccf7f45a9c7a91aba9568c3,https://review.opendev.org/c/openstack/puppet-ceilometer/+/892736,https://review.opendev.org/c/openstack/puppet-ceilometer/+/894263,True,1.0,,,8,3,8,3,1.0,4,False,False,3,7,3,9.95,238.86,3,0,ok,1,2,2,0.6,14.5,1,0,ok,Clean
openstack-puppet-ceilometer-stable-2023.1-Ib5c273d,openstack/puppet-ceilometer,stable/2023.1,Ib5c273df325f5ed0dccf7f45a9c7a91aba9568c3,https://review.opendev.org/c/openstack/puppet-ceilometer/+/892736,https://review.opendev.org/c/openstack/puppet-ceilometer/+/893548,True,1.0,,,8,3,8,3,1.0,3,False,False,3,7,3,9.95,238.86,3,0,ok,1,4,2,3.06,73.34,2,0,ok,Clean
